DATE,COMMUNITY CODE,COMMUNITY NAME,ANIMAL,LICENSE VOLUME
04/01/2018,ABB,ABBEYDALE,CATS,230
04/01/2018,ABB,ABBEYDALE,DOGS,555
04/01/2018,ACA,ACADIA,CATS,478
04/01/2018,ACA,ACADIA,DOGS,851
04/01/2018,ALB,ALBERT PARK/RADISSON HEIGHTS,CATS,196
04/01/2018,ALB,ALBERT PARK/RADISSON HEIGHTS,DOGS,301
04/01/2018,ALT,ALTADORE,CATS,217
04/01/2018,ALT,ALTADORE,DOGS,858
04/01/2018,AYB,ALYTH/BONNYBROOK,CATS,11
04/01/2018,AYB,ALYTH/BONNYBROOK,DOGS,3
04/01/2018,APP,APPLEWOOD PARK,CATS,138
04/01/2018,APP,APPLEWOOD PARK,DOGS,278
04/01/2018,ARB,ARBOUR LAKE,CATS,283
04/01/2018,ASP,ASPEN WOODS,CATS,112
04/01/2018,ASP,ASPEN WOODS,DOGS,541
04/01/2018,AUB,AUBURN BAY,CATS,341
04/01/2018,AUB,AUBURN BAY,DOGS,1386
04/01/2018,ABP,AURORA BUSINESS PARK,CATS,0
04/01/2018,ABP,AURORA BUSINESS PARK,DOGS,0
04/01/2018,BNF,BANFF TRAIL,CATS,106
04/01/2018,BNF,BANFF TRAIL,DOGS,216
04/01/2018,BNK,BANKVIEW,CATS,203
04/01/2018,BNK,BANKVIEW,DOGS,326
04/01/2018,BYV,BAYVIEW,CATS,16
04/01/2018,BYV,BAYVIEW,DOGS,82
04/01/2018,BED,BEDDINGTON HEIGHTS,CATS,402
04/01/2018,BED,BEDDINGTON HEIGHTS,DOGS,1041
04/01/2018,BEL,BEL-AIRE,CATS,5
04/01/2018,BEL,BEL-AIRE,DOGS,61
04/01/2018,BLN,BELTLINE,CATS,578
04/01/2018,BLN,BELTLINE,DOGS,848
04/01/2018,BDO,BONAVISTA DOWNS,CATS,53
04/01/2018,BDO,BONAVISTA DOWNS,DOGS,148
04/01/2018,BOW,BOWNESS,CATS,517
04/01/2018,BOW,BOWNESS,DOGS,1260
04/01/2018,BRA,BRAESIDE,CATS,300
04/01/2018,BRA,BRAESIDE,DOGS,625
04/01/2018,BRE,BRENTWOOD,CATS,386
04/01/2018,BRE,BRENTWOOD,DOGS,748
04/01/2018,BRD,BRIDGELAND/RIVERSIDE,CATS,161
04/01/2018,BRD,BRIDGELAND/RIVERSIDE,DOGS,397
04/01/2018,BRI,BRIDLEWOOD,CATS,307
04/01/2018,BRI,BRIDLEWOOD,DOGS,812
04/01/2018,BRT,BRITANNIA,CATS,14
04/01/2018,BRT,BRITANNIA,DOGS,111
04/01/2018,BUR,BURNS INDUSTRIAL,CATS,0
04/01/2018,BUR,BURNS INDUSTRIAL,DOGS,0
04/01/2018,CIA,CALGARY INTERNATIONAL AIRPORT,CATS,0
04/01/2018,CIA,CALGARY INTERNATIONAL AIRPORT,DOGS,0
04/01/2018,CAM,CAMBRIAN HEIGHTS,CATS,66
04/01/2018,CAM,CAMBRIAN HEIGHTS,DOGS,213
04/01/2018,CAN,CANYON MEADOWS,CATS,363
04/01/2018,CAN,CANYON MEADOWS,DOGS,813
04/01/2018,CAP,CAPITOL HILL,CATS,131
04/01/2018,CAP,CAPITOL HILL,DOGS,277
04/01/2018,CAS,CASTLERIDGE,CATS,112
04/01/2018,CAS,CASTLERIDGE,DOGS,329
