Community,Median Household Income,Median Age,Population 2014,Dwellings 2014,City Quadrant
Abbeydale,55345,34,6071,2031,4
Acadia,46089,42,10969,5067,4
Albert Park/Radisson Heights,38019,37,6529,2936,4
Altadore,53786,37,9518,4537,3
Applewood Park,65724,33,6864,2228,4
Arbour Lake,70590,41,10987,3931,2
Aspen Woods,133939,32,7496,2657,3
Auburn Bay,84350,30,11127,4130,4
Banff Trail,49996,31,4204,1952,2
Bankview,32474,32,5416,3536,3
Bayview,184383,49,669,248,3
Beddington Heights,56881,37,11867,4371,2
Bel-Aire,138124,51,434,158,3
Beltline,33901,33,21357,15243,3
Bonavista Downs,81761,42,956,370,4
Bowness,40468,40,11611,5300,2
Braeside,64691,39,5960,2548,3
Brentwood,56305,42,6206,2585,2
Bridgeland/Riverside,44363,42,11924,6752,1
Bridlewood,70477,32,12588,4205,3
Britannia,120387,46,722,312,3
Cambrian Heights,59522,40,2090,920,2
Canyon Meadows,66787,40,7838,3210,3
Capitol Hill,38670,34,4413,2322,2
Castleridge,57923,33,6396,1983,1
Cedarbrae,62063,39,6271,2609,3
Currie,81542,52,414,181,3
Lincoln Park,30411,35,2065,730,3
Chaparral,79761,35,12407,4044,4
Charleswood,63828,45,3646,1478,2
Chinook Park,88357,47,1708,589,3
Christie Park,102664,49,2217,728,3
Citadel,80085,35,10391,3482,2
Cliff Bungalow,35576,32,2049,1348,3
Coach Hill,75337,42,3303,1480,3
Collingwood,55208,45,2300,982,2
Copperfield,80407,30,9966,4064,4
Coral Springs,83067,37,6018,1542,1
Cougar Ridge,100908,33,13404,4354,3
Country Hills,70237,36,3787,1427,2
Country Hills Village,93410,38,2710,1352,2
Coventry Hills,70096,32,16941,5535,2
Cranston,91320,32,15354,5795,4
Crescent Heights,43123,37,6235,3615,1
Crestmont,70335,35,1514,473,3
Dalhousie,59298,38,9186,3738,2
Deer Ridge,59149,36,4165,1502,4
Deer Run,76038,41,5335,2113,4
Diamond Cove,120196,50,713,271,4
Discovery Ridge,128844,38,4462,1650,3
Douglasdale/Douglas Glen,85350,40,12952,4639,3
Dover,43875,40,11024,4869,4
Eagle Ridge,119459,58,500,110,3
Eau Claire,80210,56,1886,1321,3
Edgemont,88442,44,16052,5421,2
Elbow Park,135081,41,6252,2416,3
Elboya,62374,36,1736,777,3
Erin Woods,56123,34,7146,2469,4
Erlton,67698,38,1210,721,3
Evanston,85418,31,10030,3644,2
Evergreen,105640,34,21386,7097,3
Fairview,54116,41,3837,1614,4
Falconridge,48512,32,10840,3375,1
Forest Heights,51221,37,6511,2250,4
Forest Lawn,40396,38,8037,3367,4
Glamorgan,51192,39,6486,2978,3
Glenbrook,42845,35,7202,3254,3
Glendale,55400,42,2739,1112,3
Greenview,45898,36,2142,1120,2
Hamptons,109463,45,7775,2473,2
Harvest Hills,78949,38,7594,2573,1
Hawkwood,86912,44,9773,3331,2
Haysboro,52261,41,7240,3644,3
Hidden Valley,78127,36,11874,3867,2
Highland Park,37766,38,3965,2217,2
Highwood,57663,39,2229,996,2
Hillhurst,50822,35,6497,3584,2
Hounsfield Heights/Briar Hill,59502,46,2921,1110,2
Huntington Hills,53168,41,13536,5578,2
Inglewood,47040,38,3647,2267,4
Kelvin Grove,52468,48,2385,902,3
Killarney/Glengarry,53799,35,7231,3772,3
Kincora,67038,33,5398,1808,2
Kingsland,43647,38,4812,2395,3
Lake Bonavista,101025,46,10502,4106,4
Lakeview,64535,46,5476,2340,3
Legacy,64134,29,351,310,4
Lincoln Park,30411,34,2623,1412,3
Lower Mount Royal,35570,34,3319,2414,3
MacEwan Glen,74045,39,5053,1781,2
Mahogany,88390,31,2660,989,4
Maple Ridge,72317,48,1936,811,3
Marlborough,53921,40,8989,3177,1
Marlborough Park,52535,37,8741,3095,1
Martindale,65185,32,14761,4062,1
Mayfair,116131,43,473,156,3
Mayland Heights,49581,39,6357,2818,1
McKenzie Lake,87291,37,14189,4656,4
McKenzie Towne,75325,32,17737,7090,4
Meadowlark Park,65169,44,632,278,3
Midnapore,62067,42,6956,2748,3
Millrise,70870,39,7052,2641,3
Mission,37040,34,4350,3300,3
Monterey Park,64208,39,10703,3168,1
Montgomery,42795,40,4104,1893,2
Mount Pleasant,48334,37,5442,2694,2
New Brighton,64562,30,10628,3842,4
North Glenmore Park,61175,42,2380,1017,3
North Haven,56142,44,2434,1001,2
North Haven Upper,77803,48,637,246,2
Oakridge,72674,46,5650,2290,3
Ogden,47500,39,8918,3889,4
Palliser,57603,49,3437,1840,3
Panorama Hills,90859,32,25130,8063,2
Parkdale,59209,44,2341,1035,2
Parkhill,60937,38,1605,858,3
Parkland,103357,48,3769,1445,4
Patterson,78786,42,4350,2035,3
Penbrooke,49602,36,8760,3280,4
Pineridge,49452,36,10122,3773,1
