Mission,   17th Avenue Animal Hospital Ltd.
Willow Park,   Acadia Drive Animal Clinic
Windsor Park,   Alberta Veterinary Dentistry Inc.
Windsor Park,   Alpine 24/7 Pet Hospital
Sunalta,   Animal Clinic-Downtown
Fairview,   Antech Diagnostics Canada
Aspen,   Aspen Animal Hospital
Varsity,   Atkins Veterinary Services Ltd.
Auburn Bay,   Auburn Bay Veterinary Clinic
Lake Bonavista,   Avenida Pet Clinic
Mayland Heights,   Barlow Trail Animal Hospital
Beddington Heights,   Beddington Trail Animal Hospital
Deer Ridge,   Bow Bottom Veterinary Hospital
Montgomery,   Bowmont Animal Hospital (1998) Ltd.
Bowness,   Bowness Animal Hospital
Braeside,   Braeside Veterinary Clinic
Bridgeland/Riverside,   Bridgeland Vet Clinic
Bridlewood,   Bridlewood Veterinary Clinic
Kingsland,   Britannia-Kingsland Veterinary Clinic
Fairview,   Calgary Animal Referral & Emergency (CARE) Centre
Banff Trail,   Calgary Cat Clinic
Hounsfield Heights/Briar Hill,   Calgary Holistic Veterinary Clinic
Highland Park,   Calgary North Animal Hospital & 24 Hour Emergency Service
Parkhill,   Calgary Pet Dermatology Centre
Erin Woods,   Calgary Pet Wellness & Spay/Neuter Clinic
Rosscarrock,   Calgary West Animal Hospital
Rocky Ridge,   Calgary Wildlife Veterinary Hospital
Cambrian Heights,   Cambrian Animal Hospital
South Calgary,   Canine Companion Clinic
Canyon Meadows,   Canyon Meadows Veterinary Clinic
Castleridge,   Castleridge Veterinary Clinic
Thorncliffe,   Centre Street Veterinary Clinic
Chaparral,   Chaparral Veterinary Clinic
Coach Hill,   Coach Hill Animal Hospital
Copperfield,   Copperfield Veterinary Hospital
Discovery Ridge,   Cornerstone Square Veterinary Hospital
Country Hills,   Country Hills Animal Hospital
Cranston,   Cranston Veterinary Hospital
Legacy,   Creature Comforts Animal Clinic
Evanston,   Creek Side Veterinary Hospital
Crescent Height,   Crescent Animal Clinic
Lakeview,   Crowchild Trail Veterinary Clinic
Arbour Lake,   Crowfoot Animal Hospital
Dalhousie,   Dalhousie Varsity Animal Hospital
Dover,"   Deerfoot South Spay, Neuter And Wellness Clinic"
Harvest Hills,   District Animal Hospital & Urgent Care
Douglasdale / Douglas Glen,   Douglas Square Pet Clinic
Coventry Hills,   Dr. Romus Vetstreet
Edgemont,   Edgemont Veterinary Clinic
