DATE,COMMUNITY CODE,,ANIMAL,LICENSE VOLUME
04/01/2018,ABB,Abbeydale,CATS,230
04/01/2018,ABB,Abbeydale,DOGS,555
04/01/2018,ACA,Acadia,CATS,478
04/01/2018,ACA,Acadia,DOGS,851
04/01/2018,ALB,Albert Park/Radisson Heights,CATS,196
04/01/2018,ALB,Albert Park/Radisson Heights,DOGS,301
04/01/2018,ALT,Altadore,CATS,217
04/01/2018,ALT,Altadore,DOGS,858
04/01/2018,AYB,Alyth/Bonnybrook,CATS,11
04/01/2018,AYB,Alyth/Bonnybrook,DOGS,3
04/01/2018,APP,Applewood Park,CATS,138
04/01/2018,APP,Applewood Park,DOGS,278
04/01/2018,ARB,Arbour Lake,CATS,283
04/01/2018,ASP,Aspen Woods,CATS,112
04/01/2018,ASP,Aspen Woods,DOGS,541
04/01/2018,AUB,Auburn Bay,CATS,341
04/01/2018,AUB,Auburn Bay,DOGS,1386
04/01/2018,ABP,Aurora Business Park,CATS,0
04/01/2018,ABP,Aurora Business Park,DOGS,0
04/01/2018,BNF,Banff Trail,CATS,106
04/01/2018,BNF,Banff Trail,DOGS,216
04/01/2018,BNK,Bankview,CATS,203
04/01/2018,BNK,Bankview,DOGS,326
04/01/2018,BYV,Bayview,CATS,16
04/01/2018,BYV,Bayview,DOGS,82
04/01/2018,BED,Beddington Heights,CATS,402
04/01/2018,BED,Beddington Heights,DOGS,1041
04/01/2018,BEL,Bel-Aire,CATS,5
04/01/2018,BEL,Bel-Aire,DOGS,61
04/01/2018,BLN,Beltline,CATS,578
04/01/2018,BLN,Beltline,DOGS,848
04/01/2018,BDO,Bonavista Downs,CATS,53
04/01/2018,BDO,Bonavista Downs,DOGS,148
04/01/2018,BOW,Bowness,CATS,517
04/01/2018,BOW,Bowness,DOGS,1260
04/01/2018,BRA,Braeside,CATS,300
04/01/2018,BRA,Braeside,DOGS,625
04/01/2018,BRE,Brentwood,CATS,386
04/01/2018,BRE,Brentwood,DOGS,748
04/01/2018,BRD,Bridgeland/Riverside,CATS,161
04/01/2018,BRD,Bridgeland/Riverside,DOGS,397
04/01/2018,BRI,Bridlewood,CATS,307
04/01/2018,BRI,Bridlewood,DOGS,812
04/01/2018,BRT,Britannia,CATS,14
04/01/2018,BRT,Britannia,DOGS,111
04/01/2018,BUR,Burns Industrial,CATS,0
04/01/2018,BUR,Burns Industrial,DOGS,0
04/01/2018,CIA,Calgary International Airport,CATS,0
04/01/2018,CIA,Calgary International Airport,DOGS,0
04/01/2018,CAM,Cambrian Heights,CATS,66
04/01/2018,CAM,Cambrian Heights,DOGS,213
04/01/2018,CAN,Canyon Meadows,CATS,363
04/01/2018,CAN,Canyon Meadows,DOGS,813
04/01/2018,CAP,Capitol Hill,CATS,131
04/01/2018,CAP,Capitol Hill,DOGS,277
04/01/2018,CAS,Castleridge,CATS,112
04/01/2018,CAS,Castleridge,DOGS,329
04/01/2018,CED,Cedarbrae,CATS,308
04/01/2018,CED,Cedarbrae,DOGS,609
04/01/2018,CHA,Chaparral,CATS,164
04/01/2018,CHA,Chaparral,DOGS,1387
04/01/2018,CHW,Charleswood,CATS,146
04/01/2018,CHW,Charleswood,DOGS,340
04/01/2018,CHN,Chinatown,CATS,3
04/01/2018,CHN,Chinatown,DOGS,23
04/01/2018,CHK,Chinook Park,CATS,49
04/01/2018,CHK,Chinook Park,DOGS,164
